product_ean	location	store_name	code
2278514168815	Europe/Samara	Otradnyy	RU
0307186409789	Europe/Paris	Colomiers	FR
9188379583568	Asia/Karachi	Larkana	PK
3552278027397	Australia/Sydney	Baulkham Hills	AU
3095423396295	America/New_York	Thomasville	US
8515531105008	Asia/Colombo	Dehiwala-Mount Lavinia	LK
5345087661771	Africa/Kampala	Arua	UG
5312912440733	Asia/Shanghai	Laiwu	CN
6989884207795	Europe/London	Kingston upon Hull	GB
9392594675445	Europe/Rome	Roseto degli Abruzzi	IT
9849887078563	Europe/Brussels	Gembloux	BE
4238817760152	Asia/Kolkata	Hungund	IN
6266652814318	Europe/Rome	Agrigento	IT
1305807902717	Asia/Shanghai	Laiwu	CN
5041023276688	Europe/Moscow	Kolomyagi	RU
6433176045744	Europe/Madrid	Caravaca	ES
4788318887624	Europe/Berlin	Albstadt	DE
3346773114290	Europe/Amsterdam	Hardenberg	NL
0925831614823	Europe/London	Brierley Hill	GB
7168067509379	Europe/Andorra	les Escaldes	AD
5332763827071	Europe/Oslo	Harstad	NO
2785328046890	Australia/Sydney	Griffith	AU
0193017679038	Europe/London	Arbroath	GB
2342193925776	Asia/Shanghai	Taozhuang	CN
9193129835552	Asia/Shanghai	Hengshui	CN
5347741785014	Africa/Lagos	Ilesa	NG
2824881866122	Asia/Damascus	Binnish	SY
1694323630809	America/Chicago	Hutto	US
2274559385927	Asia/Kolkata	Rangia	IN
4818269987392	America/Chicago	South Lawndale	US
5348542993455	America/New_York	Woodbridge	US
7274500844270	America/Chicago	Searcy	US
1844590933589	Europe/Istanbul	Aksaray	TR
7836784113840	America/Recife	Cabo	BR
9269628157409	Europe/Moscow	Dyat’kovo	RU
0213797570056	America/Recife	Recife	BR
7639743797897	America/New_York	Martinsburg	US
3999591998001	Asia/Kolkata	Aistala	IN
9726222272124	Asia/Kolkata	Barpeta	IN
6144921669428	Europe/London	Rutherglen	GB
5750856051767	Europe/London	Penzance	GB
2468487468375	Asia/Jakarta	Simpang	ID
5829124997288	Pacific/Honolulu	Kahului	US
8001355565574	Europe/Berlin	Bretten	DE
2856467547637	America/New_York	Lutz	US
0003975596066	America/Los_Angeles	Laguna Niguel	US
4164693347531	Asia/Shanghai	Laiwu	CN
9415918358180	Europe/London	High Wycombe	GB
7212674947700	America/Santiago	La Ligua	CL
4669138490167	Europe/Amsterdam	Emmeloord	NL
7864575847506	Asia/Yekaterinburg	Ishim	RU
1962571604614	America/Argentina/Buenos_Aires	Pontevedra	AR
2808488688998	Europe/Rome	Montecchio Maggiore-Alte Ceccato	IT
6960988792424	Asia/Karachi	Mianwali	PK
6921889618183	America/Los_Angeles	Indio	US
2767556643454	Europe/Kiev	Nova Kakhovka	UA
4858114492602	Europe/Berlin	Walsrode	DE
5328782939406	Asia/Yekaterinburg	Lesnoy	RU
2899857463056	Asia/Yekaterinburg	Tavda	RU
8691002666527	Europe/Rome	Mesagne	IT
8796473428510	America/El_Salvador	Sonzacate	SV
9430842664688	America/Recife	Cabo	BR
0371563737703	Europe/Berlin	Oschatz	DE
1112865678511	America/Chicago	Longview	US
3533069264368	Europe/Madrid	Caravaca	ES
5741237598681	Africa/Lagos	Lagos	NG
5149145648694	Asia/Tokyo	Minokamo	JP
9615720690304	America/New_York	Fitchburg	US
0788069950381	Africa/Algiers	Beni Douala	DZ
3527397712431	Europe/Lisbon	Paredes	PT
0285821984672	Europe/Rome	Catania	IT
4118725458429	Africa/Algiers	Ksar Chellala	DZ
6142859806953	America/Denver	Ken Caryl	US
8636856686239	America/Chicago	South Lawndale	US
6389671925886	Europe/Moscow	Stupino	RU
7762511789173	America/Sao_Paulo	Carlos Barbosa	BR
6492630964021	Europe/Madrid	Leioa	ES
3144719540307	Europe/Lisbon	Carnaxide	PT
7002914521568	America/Los_Angeles	Santa Maria	US
8430332631146	America/Bogota	Madrid	CO
0097300552605	Europe/Istanbul	Mudanya	TR
4547498042496	Europe/Kiev	Voznesensk	UA
6047470440084	America/Los_Angeles	Camarillo	US
8369879266118	Asia/Kolkata	Pune	IN
2057714595375	Europe/Saratov	Privolzhskiy	RU
7106986790157	America/Sao_Paulo	Marau	BR
5422174452594	Asia/Yekaterinburg	Kuvandyk	RU
5586222334147	Asia/Jakarta	Kediri	ID
3017500338264	Asia/Kolkata	Pandua	IN
9181427012621	America/Chicago	Palestine	US
6804728521007	Europe/Madrid	Tudela	ES
2130608828602	America/Havana	Boyeros	CU
8875981440600	Europe/Berlin	Oschatz	DE
7509782198460	Asia/Manila	Tupi	PH
7524066625685	Europe/Vilnius	Alytus	LT
8849095704446	Africa/Tunis	El Alia	TN
8045645608848	America/Havana	Media Luna	CU
0753047191025	America/Manaus	Itacoatiara	BR
4028478767276	Europe/Paris	Bar-le-Duc	FR
7846129520097	Europe/Moscow	Yablonovskiy	RU
6849242895586	Asia/Kolkata	Osmanabad	IN
2642888758932	Europe/Saratov	Privolzhskiy	RU
8704393953302	America/Chicago	Rosemount	US
