pct_mouse_click	pct_scroll_move	pct_doubleclick	pct_input	screen_width	session_start	page_activity_duration	ack	pct_click	pct_mouse_move	browser_name	pct_scrandom	pct_scroll_move_duration	mouse_move_total_rel_distance	product_ean	screen_height	pct_rage_click	pct_wild_mouse	session_duration	wild_mouse_duration	session_id	pct_click_product_info	scroll_move_total_rel_distance	total_load_time	user_id
13.96921	52.93808	15.41059	0.32897	1024	2021-08-04 05:25:09	15.59475	1.00000	14.57201	16.41346	firefox	58.66456	13.94010	12.52012	0564265776303	lower	49.58705	75.18599	183.82111	13.70777	936507	32.63370	13.86841	1.92048	875
12.21072	54.85927	14.93146	1.34612	lower	2018-10-26 23:05:20	15.77980	1.00000	16.82394	12.25984	safari	62.07637	8.90805	14.30758	7498438977071	lower	44.08378	53.82694	107.89143	15.11730	592275	76.77153	14.14286	1.02868	2200
15.44027	46.58433	16.58475	7.57896	800	2021-07-02 04:39:00	13.80181	1.00000	12.25488	11.21587	edge	30.90226	5.09416	13.56575	5689893459444	768	65.23820	52.02630	113.48302	16.84554	826998	63.66292	12.65286	2.16349	178
17.01141	42.11313	14.53051	0.03413	800	2021-02-02 05:49:16	12.75978	0.00000	10.92709	14.36661	edge	64.26225	13.89954	12.91839	8534027494853	1080	52.11998	56.13281	194.80296	11.43350	227707	60.13113	12.09981	5.91794	404
18.19680	36.33081	11.25558	0.00502	1920	2020-05-16 06:22:17	16.78214	1.00000	11.22324	12.68782	safari	38.17934	16.96088	12.82748	9601982241767	768	33.55068	19.08152	191.28224	9.49524	1342490	53.72560	12.19035	2.87977	271
16.85449	41.79919	16.24992	1.16498	1366	2021-06-17 07:05:30	15.07072	0.00000	13.08999	13.63852	chrome	53.13144	7.94926	12.92812	2674524708223	768	40.36975	34.20226	221.41929	14.97248	356598	69.92016	11.64241	3.96107	2199
16.52537	55.72032	12.77720	0.71654	1280	2018-09-27 02:19:52	13.36415	0.00000	11.45863	14.19468	other	25.94787	12.33720	12.27923	9759630745607	lower	22.58530	48.10743	234.55545	14.48684	289548	26.21360	12.81862	0.93071	64
12.46459	43.62412	12.29422	0.00325	1024	2020-03-06 15:54:37	11.09372	0.00000	11.26013	16.80821	safari	52.98968	23.15022	15.94606	6869122155593	600	44.04075	43.83537	90.44681	9.06842	1339289	36.65328	12.61608	0.05335	2363
15.37708	49.08920	14.57675	0.02283	1280	2022-12-27 11:50:15	15.52988	0.00000	12.30896	15.13530	chrome	60.41740	16.48137	14.20687	8785185670287	800	31.03885	51.10377	68.17825	11.03212	119723	58.71516	12.99496	1.08072	1297
16.67717	54.13530	15.31400	0.15656	800	2019-07-26 15:23:18	15.39250	1.00000	12.49405	14.21779	edge	56.25380	11.86846	13.29565	3941887686055	1080	24.71881	60.44283	169.96195	12.96422	859041	37.79338	13.73506	0.47828	1631
11.46771	63.19021	14.66003	0.82881	1280	2022-12-24 23:35:48	15.18776	1.00000	15.62190	11.86567	edge	34.54174	10.60867	13.06119	0448811102290	768	45.09815	70.45551	153.70155	14.63200	1282620	39.22550	13.68644	2.57859	2031
16.76767	45.53270	11.63992	0.56202	1280	2023-03-21 15:14:52	12.68687	0.00000	12.26485	14.45677	chrome	28.11679	12.46157	12.89249	9654142014756	600	26.49646	51.76868	99.12960	14.24366	908872	42.62743	14.17025	1.80435	1190
16.19506	33.41643	14.35392	0.00239	1280	2023-06-17 11:07:46	13.63959	1.00000	7.11200	12.41287	chrome	59.51100	19.01341	13.16362	1627168524354	768	52.77534	48.49650	149.02423	8.77145	686248	31.93622	13.11906	2.11398	1611
10.39178	61.59093	14.47085	0.05361	1920	2020-08-10 12:47:54	17.05316	1.00000	18.98069	9.54446	other	43.40232	10.23193	12.04343	3769146497651	768	56.69090	43.60685	112.34396	11.88841	86426	88.20037	11.90703	2.67674	1547
10.04666	57.28924	15.03380	1.78153	1280	2022-04-27 04:29:50	13.93748	1.00000	16.52918	11.91499	edge	58.80513	9.65620	14.44675	2869238626929	lower	43.29690	69.59664	66.68433	15.39739	1216401	58.06052	11.88194	2.42655	1030
12.28890	34.51968	17.09180	0.29281	1366	2019-12-24 05:47:42	14.88779	1.00000	18.46849	11.86220	edge	36.79940	6.64624	12.78948	0495909805007	768	46.83512	65.92636	97.43017	13.59097	894904	41.93219	12.96116	4.94127	984
15.91783	42.66313	10.98006	0.01326	1024	2020-01-05 21:28:22	9.80052	0.00000	11.61531	17.35980	safari	40.83124	19.27268	13.63541	4070044398650	1080	50.08195	46.38950	162.40261	10.50496	1068880	45.17806	12.41839	1.72903	653
17.40066	81.20570	11.25170	0.08150	higher	2023-07-07 22:07:14	11.14101	0.00000	11.19974	17.84195	firefox	62.62814	17.37049	12.49995	4296086041969	600	27.39580	64.21893	169.41928	12.30893	1296613	47.56776	14.44642	13.96614	2278
15.19723	67.40376	16.43378	0.07039	800	2023-02-07 13:09:03	14.88957	1.00000	11.92384	15.24931	chrome	65.92270	14.37062	13.59567	2917906401146	600	48.17501	57.08742	177.30378	12.16571	459095	72.86655	14.29789	1.32864	253
16.39405	49.10020	14.14940	0.00525	1024	2019-03-08 09:16:08	15.44688	1.00000	11.06693	14.96763	edge	43.03816	18.15160	13.62700	2891598372451	lower	34.28084	59.59223	155.03086	9.51768	365291	45.39228	12.36037	7.80553	1752
13.55549	42.25445	11.83294	0.01814	1920	2021-04-04 23:47:55	12.62890	0.00000	12.29055	14.24967	edge	60.01979	18.27378	13.18404	7144492487864	lower	33.31170	33.16802	112.47238	10.80734	344198	54.03194	14.40031	1.44152	1106
15.23269	55.54489	13.10013	0.05040	1920	2020-01-03 23:52:10	11.73795	0.00000	10.62897	16.18683	other	51.59937	17.64695	13.20721	0499212558049	600	45.66427	51.61244	144.77268	11.82975	1405129	68.73339	12.64978	1.97767	1950
17.11028	48.32636	14.05134	0.06961	800	2022-03-11 13:00:36	11.66330	0.00000	10.75372	12.43847	safari	37.33252	11.35609	12.75697	5555379788295	1080	45.04285	65.42385	175.16366	12.15456	552617	51.55913	13.33804	6.95439	1763
15.74282	36.47279	14.16042	0.05635	1920	2020-03-06 06:30:04	15.91535	1.00000	13.59791	16.26654	chrome	52.51564	15.73298	14.13162	7276861800179	lower	14.05392	36.13068	159.87836	11.94069	470016	43.94612	13.32547	4.53090	94
